AVG QTY Per Serving,Category,Description,Serving Size (g),Energy (kcal),Protein (g),"Fat, Total (g)",Sat. Fat (g),Trans fatty acid (g),Cholesterol (mg),Carbohydrates (g),Dietary Fibre (g),Sugars (g),Sodium (mg)
Chicken Bulgogi,Hot Wraps,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain wrap",241,324,22.7,78 7.5,3.2,0,0,38.8,5.3,15.7,1154
Chicken Cutlet,Hot Wraps,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain wrap",266,459,25.6,18.9,8.4,0,30,44.9,13.2,10,1009
Chicken Teriyaki,Hot Wraps,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain wrap",241,316,22.7,7.2,3.1,0,0,38.2,5.1,14.7,1089
Chunky Steak & Cheese (with Sliced Old English Style Processed Cheese),Hot Wraps,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain wrap",231,339,26.1,11,7,0,45,32.3,5.1,9,1026
Meatball Marinara,Hot Wraps,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain wrap",254,377,18.3,15.5,8.3,0,22,40,5.8,11,980
Roasted Chicken Breast Patty,Hot Wraps,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain wrap",220,282,20.3,6.8,3.1,0,0,33.1,5.1,10,915
"Subway MeltTM (with Chicken Ham Slice, Turkey Breast, Chicken Bacon and Sliced Old English Style Processed Cheese)",Hot Wraps,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain wrap",235,322,19.5,10.5,5.8,0,25,34.8,5.8,9.7,1387
Veggie Patty,Hot Wraps,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on multigrain wrap",229,403,10.4,16,8.1,0.1,0.1,53.7,8.4,10.9,981
Chicken Ham,Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",231,316,17.4,7.4,2,0.1,15,45.5,2.5,4.6,944
"Cold Cut Trio (with Turkey Bologna, Turkey Ham and Turkey Salami)",Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",231,316,18.4,6.7,1.6,0.1,32,45.9,3,4.5,1006
Egg & Mayo (with Hard Boiled Egg),Cold Flat Breads,"Values include lettuce, tomatoes, cucumbers, mixed bell peppers and onions on flat bread",245,398,12.5,19.6,3.6,0.4,110,43.3,2.6,4.2,663
